KOTA,TANGGAL,SUHU MAX ,,,731,rand
Delhi,29/10/2024,33.05,,,,
Delhi,30/10/2024,34.08,,,,
Delhi,31/10/2024,33.03,,,,
Delhi,01/11/2024,32.07,,,,
Delhi,02/11/2024,32,,,,
Delhi,03/11/2024,31.07,,,,
Delhi,04/11/2024,30.07,,,,
Delhi,05/11/2024,29.06,,,,
Delhi,06/11/2024,30.03,,,,
Delhi,07/11/2024,30.02,,,,
Delhi,08/11/2024,30.06,,,,
Delhi,09/11/2024,31,,,,
Delhi,10/11/2024,30.06,,,,
Delhi,11/11/2024,29.09,,,,
Delhi,12/11/2024,31.05,,,,
Delhi,13/11/2024,30.01,,,,
Delhi,14/11/2024,29.09,,,,
Delhi,15/11/2024,29.01,,,,
Delhi,16/11/2024,28.08,,,,
Delhi,17/11/2024,28.04,,,,
Delhi,18/11/2024,26.04,,,,
Delhi,19/11/2024,25.09,,,,
Delhi,20/11/2024,26,,,,
Delhi,21/11/2024,25.08,,,,
Delhi,22/11/2024,26.03,,,,
Delhi,23/11/2024,27.05,,,,
Delhi,24/11/2024,27.07,,,,
Delhi,25/11/2024,25.09,,,,
